AS AF AFG 004 Afghanistan, Islamic Republic of
EU BE BEL 056 Belgium, Kingdom of
AF CV CPV 132 Cape Verde, Republic of
NA DO DOM 214 Dominican Republic
EU FR FRA 250 France, French Republic
EU DE DEU 276 Germany, Federal Republic of
AS IN IND 356 India, Republic of
EU PL POL 616 Poland, Republic of
EU PT PRT 620 Portugal, Portuguese Republic
EU CH CHE 756 Switzerland, Swiss Confederation
AF TN TUN 788 Tunisia, Tunisian Republic
EU GB GBR 826 United Kingdom of Great Britain & Northern Ireland
NA US USA 840 United States of America
AF ZW ZWE 716 Zimbabwe, Republic of
